,settlementDate,settlementPeriod,imbalanceQuantityMAW,time_stamp
0,2014-12-16,48,-386.861,2014-12-17 00:00:00
1,2014-12-16,47,-398.914,2014-12-16 23:30:00
2,2014-12-16,46,-250.894,2014-12-16 23:00:00
3,2014-12-16,45,-275.414,2014-12-16 22:30:00
4,2014-12-16,44,-321.626,2014-12-16 22:00:00
5,2014-12-16,43,-233.123,2014-12-16 21:30:00
6,2014-12-16,42,-399.344,2014-12-16 21:00:00
7,2014-12-16,41,-334.081,2014-12-16 20:30:00
8,2014-12-16,40,-515.989,2014-12-16 20:00:00
9,2014-12-16,39,-323.721,2014-12-16 19:30:00
10,2014-12-16,38,-751.408,2014-12-16 19:00:00
11,2014-12-16,37,-853.25,2014-12-16 18:30:00
12,2014-12-16,36,-748.729,2014-12-16 18:00:00
13,2014-12-16,35,-663.671,2014-12-16 17:30:00
14,2014-12-16,34,-320.944,2014-12-16 17:00:00
15,2014-12-16,33,11.0381,2014-12-16 16:30:00
16,2014-12-16,32,118.312,2014-12-16 16:00:00
17,2014-12-16,31,-247.893,2014-12-16 15:30:00
18,2014-12-16,30,-268.601,2014-12-16 15:00:00
19,2014-12-16,29,-357.292,2014-12-16 14:30:00
0,2014-12-17,48,-381.165,2014-12-18 00:00:00
1,2014-12-17,47,-96.5117,2014-12-17 23:30:00
2,2014-12-17,46,-293.274,2014-12-17 23:00:00
3,2014-12-17,45,-614.117,2014-12-17 22:30:00
4,2014-12-17,44,-654.286,2014-12-17 22:00:00
5,2014-12-17,43,-188.33,2014-12-17 21:30:00
6,2014-12-17,42,-56.9312,2014-12-17 21:00:00
7,2014-12-17,41,-126.403,2014-12-17 20:30:00
8,2014-12-17,40,-234.605,2014-12-17 20:00:00
9,2014-12-17,39,-239.595,2014-12-17 19:30:00
10,2014-12-17,38,-172.026,2014-12-17 19:00:00
11,2014-12-17,37,-0.0222,2014-12-17 18:30:00
12,2014-12-17,36,-2.5169,2014-12-17 18:00:00
13,2014-12-17,35,153.458,2014-12-17 17:30:00
14,2014-12-17,34,44.4893,2014-12-17 17:00:00
15,2014-12-17,33,-57.6501,2014-12-17 16:30:00
16,2014-12-17,32,-287.837,2014-12-17 16:00:00
17,2014-12-17,31,-537.092,2014-12-17 15:30:00
18,2014-12-17,30,-471.707,2014-12-17 15:00:00
19,2014-12-17,29,-285.43,2014-12-17 14:30:00
20,2014-12-17,28,-257.764,2014-12-17 14:00:00
21,2014-12-17,27,-256.962,2014-12-17 13:30:00
22,2014-12-17,26,-195.318,2014-12-17 13:00:00
23,2014-12-17,25,-111.326,2014-12-17 12:30:00
24,2014-12-17,24,-3.8587,2014-12-17 12:00:00
25,2014-12-17,23,117.319,2014-12-17 11:30:00
26,2014-12-17,22,146.18,2014-12-17 11:00:00
27,2014-12-17,21,-9.1876,2014-12-17 10:30:00
28,2014-12-17,20,40.6021,2014-12-17 10:00:00
29,2014-12-17,19,48.7835,2014-12-17 09:30:00
30,2014-12-17,18,-280.185,2014-12-17 09:00:00
31,2014-12-17,17,126.829,2014-12-17 08:30:00
32,2014-12-17,16,254.956,2014-12-17 08:00:00
33,2014-12-17,15,-38.724,2014-12-17 07:30:00
34,2014-12-17,14,-119.434,2014-12-17 07:00:00
35,2014-12-17,13,-189.929,2014-12-17 06:30:00
36,2014-12-17,12,-487.407,2014-12-17 06:00:00
37,2014-12-17,11,-523.615,2014-12-17 05:30:00
38,2014-12-17,10,-207.041,2014-12-17 05:00:00
39,2014-12-17,9,-141.59,2014-12-17 04:30:00
40,2014-12-17,8,-157.292,2014-12-17 04:00:00
41,2014-12-17,7,10.6382,2014-12-17 03:30:00
42,2014-12-17,6,29.3069,2014-12-17 03:00:00
43,2014-12-17,5,73.4426,2014-12-17 02:30:00
44,2014-12-17,4,65.2941,2014-12-17 02:00:00
45,2014-12-17,3,422.851,2014-12-17 01:30:00
46,2014-12-17,2,181.907,2014-12-17 01:00:00
47,2014-12-17,1,-11.1348,2014-12-17 00:30:00
0,2014-12-18,48,-387.004,2014-12-19 00:00:00
1,2014-12-18,47,-124.069,2014-12-18 23:30:00
2,2014-12-18,46,160.695,2014-12-18 23:00:00
3,2014-12-18,45,-134.174,2014-12-18 22:30:00
4,2014-12-18,44,-161.552,2014-12-18 22:00:00
5,2014-12-18,43,-146.151,2014-12-18 21:30:00
6,2014-12-18,42,-451.535,2014-12-18 21:00:00
7,2014-12-18,41,-318.649,2014-12-18 20:30:00
8,2014-12-18,40,-266.36,2014-12-18 20:00:00
9,2014-12-18,39,-266.865,2014-12-18 19:30:00
10,2014-12-18,38,-407.33,2014-12-18 19:00:00
11,2014-12-18,37,-253.973,2014-12-18 18:30:00
12,2014-12-18,36,-154.319,2014-12-18 18:00:00
13,2014-12-18,35,45.8651,2014-12-18 17:30:00
14,2014-12-18,34,-107.798,2014-12-18 17:00:00
15,2014-12-18,33,-523.281,2014-12-18 16:30:00
16,2014-12-18,32,-476.67,2014-12-18 16:00:00
17,2014-12-18,31,-594.242,2014-12-18 15:30:00
18,2014-12-18,30,-393.271,2014-12-18 15:00:00
19,2014-12-18,29,-275.734,2014-12-18 14:30:00
20,2014-12-18,28,-205.9,2014-12-18 14:00:00
21,2014-12-18,27,63.5012,2014-12-18 13:30:00
22,2014-12-18,26,330.844,2014-12-18 13:00:00
23,2014-12-18,25,252.039,2014-12-18 12:30:00
24,2014-12-18,24,141.323,2014-12-18 12:00:00
25,2014-12-18,23,41.4385,2014-12-18 11:30:00
26,2014-12-18,22,35.6706,2014-12-18 11:00:00
27,2014-12-18,21,19.6155,2014-12-18 10:30:00
28,2014-12-18,20,-13.3478,2014-12-18 10:00:00
29,2014-12-18,19,-135.828,2014-12-18 09:30:00
30,2014-12-18,18,-265.276,2014-12-18 09:00:00
31,2014-12-18,17,39.9017,2014-12-18 08:30:00
32,2014-12-18,16,-144.526,2014-12-18 08:00:00
33,2014-12-18,15,94.9107,2014-12-18 07:30:00
34,2014-12-18,14,-318.312,2014-12-18 07:00:00
35,2014-12-18,13,-541.61,2014-12-18 06:30:00
36,2014-12-18,12,-513.85,2014-12-18 06:00:00
37,2014-12-18,11,-808.379,2014-12-18 05:30:00
38,2014-12-18,10,-678.206,2014-12-18 05:00:00
39,2014-12-18,9,-405.928,2014-12-18 04:30:00
40,2014-12-18,8,-375.959,2014-12-18 04:00:00
41,2014-12-18,7,-114.681,2014-12-18 03:30:00
42,2014-12-18,6,42.784,2014-12-18 03:00:00
43,2014-12-18,5,96.8758,2014-12-18 02:30:00
44,2014-12-18,4,-112.573,2014-12-18 02:00:00
45,2014-12-18,3,-5.9996,2014-12-18 01:30:00
46,2014-12-18,2,101.47,2014-12-18 01:00:00
47,2014-12-18,1,-187.85,2014-12-18 00:30:00
0,2014-12-19,48,-40.1727,2014-12-20 00:00:00
1,2014-12-19,47,273.028,2014-12-19 23:30:00
2,2014-12-19,46,45.1268,2014-12-19 23:00:00
3,2014-12-19,45,-342.64,2014-12-19 22:30:00
4,2014-12-19,44,-22.4524,2014-12-19 22:00:00
5,2014-12-19,43,-34.3378,2014-12-19 21:30:00
6,2014-12-19,42,254.272,2014-12-19 21:00:00
7,2014-12-19,41,108.053,2014-12-19 20:30:00
8,2014-12-19,40,33.9201,2014-12-19 20:00:00
9,2014-12-19,39,-55.787,2014-12-19 19:30:00
10,2014-12-19,38,51.8479,2014-12-19 19:00:00
11,2014-12-19,37,168.888,2014-12-19 18:30:00
12,2014-12-19,36,435.627,2014-12-19 18:00:00
13,2014-12-19,35,659.233,2014-12-19 17:30:00
14,2014-12-19,34,447.403,2014-12-19 17:00:00
15,2014-12-19,33,124.531,2014-12-19 16:30:00
16,2014-12-19,32,-120.533,2014-12-19 16:00:00
17,2014-12-19,31,-201.587,2014-12-19 15:30:00
18,2014-12-19,30,-494.383,2014-12-19 15:00:00
19,2014-12-19,29,-418.739,2014-12-19 14:30:00
20,2014-12-19,28,-497.116,2014-12-19 14:00:00
21,2014-12-19,27,-598.212,2014-12-19 13:30:00
22,2014-12-19,26,-592.891,2014-12-19 13:00:00
23,2014-12-19,25,-655.422,2014-12-19 12:30:00
24,2014-12-19,24,-851.6,2014-12-19 12:00:00
25,2014-12-19,23,-667.454,2014-12-19 11:30:00
26,2014-12-19,22,-210.983,2014-12-19 11:00:00
27,2014-12-19,21,7.4807,2014-12-19 10:30:00
28,2014-12-19,20,75.8479,2014-12-19 10:00:00
29,2014-12-19,19,466.392,2014-12-19 09:30:00
30,2014-12-19,18,402.341,2014-12-19 09:00:00
31,2014-12-19,17,601.004,2014-12-19 08:30:00
32,2014-12-19,16,63.6302,2014-12-19 08:00:00
33,2014-12-19,15,264.024,2014-12-19 07:30:00
34,2014-12-19,14,-23.3172,2014-12-19 07:00:00
35,2014-12-19,13,-285.405,2014-12-19 06:30:00
36,2014-12-19,12,4.053,2014-12-19 06:00:00
37,2014-12-19,11,15.9916,2014-12-19 05:30:00
38,2014-12-19,10,192.277,2014-12-19 05:00:00
39,2014-12-19,9,46.6551,2014-12-19 04:30:00
40,2014-12-19,8,-163.865,2014-12-19 04:00:00
41,2014-12-19,7,-145.272,2014-12-19 03:30:00
42,2014-12-19,6,-217.219,2014-12-19 03:00:00
43,2014-12-19,5,-82.0289,2014-12-19 02:30:00
44,2014-12-19,4,-131.283,2014-12-19 02:00:00
45,2014-12-19,3,138.147,2014-12-19 01:30:00
46,2014-12-19,2,-93.2631,2014-12-19 01:00:00
47,2014-12-19,1,-99.0583,2014-12-19 00:30:00
0,2014-12-20,48,-425.766,2014-12-21 00:00:00
1,2014-12-20,47,-648.07,2014-12-20 23:30:00
2,2014-12-20,46,-278.001,2014-12-20 23:00:00
3,2014-12-20,45,-99.8757,2014-12-20 22:30:00
4,2014-12-20,44,-47.1364,2014-12-20 22:00:00
5,2014-12-20,43,49.1259,2014-12-20 21:30:00
6,2014-12-20,42,27.9725,2014-12-20 21:00:00
7,2014-12-20,41,261.527,2014-12-20 20:30:00
8,2014-12-20,40,22.3438,2014-12-20 20:00:00
9,2014-12-20,39,111.391,2014-12-20 19:30:00
10,2014-12-20,38,390.425,2014-12-20 19:00:00
11,2014-12-20,37,723.143,2014-12-20 18:30:00
12,2014-12-20,36,973.051,2014-12-20 18:00:00
13,2014-12-20,35,999.664,2014-12-20 17:30:00
14,2014-12-20,34,919.233,2014-12-20 17:00:00
15,2014-12-20,33,588.611,2014-12-20 16:30:00
16,2014-12-20,32,272.442,2014-12-20 16:00:00
17,2014-12-20,31,405.085,2014-12-20 15:30:00
18,2014-12-20,30,340.828,2014-12-20 15:00:00
19,2014-12-20,29,117.257,2014-12-20 14:30:00
20,2014-12-20,28,-66.6351,2014-12-20 14:00:00
21,2014-12-20,27,-87.7034,2014-12-20 13:30:00
22,2014-12-20,26,-36.0895,2014-12-20 13:00:00
23,2014-12-20,25,-14.9581,2014-12-20 12:30:00
24,2014-12-20,24,-179.849,2014-12-20 12:00:00
25,2014-12-20,23,-81.751,2014-12-20 11:30:00
26,2014-12-20,22,49.406,2014-12-20 11:00:00
27,2014-12-20,21,104.004,2014-12-20 10:30:00
28,2014-12-20,20,220.647,2014-12-20 10:00:00
29,2014-12-20,19,181.888,2014-12-20 09:30:00
30,2014-12-20,18,38.8519,2014-12-20 09:00:00
31,2014-12-20,17,-237.276,2014-12-20 08:30:00
32,2014-12-20,16,-333.74,2014-12-20 08:00:00
33,2014-12-20,15,-524.064,2014-12-20 07:30:00
34,2014-12-20,14,-90.9389,2014-12-20 07:00:00
35,2014-12-20,13,33.1568,2014-12-20 06:30:00
36,2014-12-20,12,125.36,2014-12-20 06:00:00
37,2014-12-20,11,-67.3451,2014-12-20 05:30:00
38,2014-12-20,10,-461.6,2014-12-20 05:00:00
39,2014-12-20,9,-312.608,2014-12-20 04:30:00
40,2014-12-20,8,-104.014,2014-12-20 04:00:00
41,2014-12-20,7,-16.2858,2014-12-20 03:30:00
42,2014-12-20,6,-70.1815,2014-12-20 03:00:00
43,2014-12-20,5,46.0159,2014-12-20 02:30:00
44,2014-12-20,4,-5.9748,2014-12-20 02:00:00
45,2014-12-20,3,364.895,2014-12-20 01:30:00
46,2014-12-20,2,132.055,2014-12-20 01:00:00
47,2014-12-20,1,70.512,2014-12-20 00:30:00
0,2014-12-21,48,-271.124,2014-12-22 00:00:00
1,2014-12-21,47,-219.581,2014-12-21 23:30:00
2,2014-12-21,46,-558.034,2014-12-21 23:00:00
3,2014-12-21,45,-248.293,2014-12-21 22:30:00
4,2014-12-21,44,-89.9802,2014-12-21 22:00:00
5,2014-12-21,43,-189.528,2014-12-21 21:30:00
6,2014-12-21,42,-62.8821,2014-12-21 21:00:00
7,2014-12-21,41,384.47,2014-12-21 20:30:00
8,2014-12-21,40,448.187,2014-12-21 20:00:00
9,2014-12-21,39,355.284,2014-12-21 19:30:00
